,year,month,day,RMM1,RMM2,phase,amplitude
1998-01-01,1998,1,1,0.969217,0.98749399,6,1.38366
1998-01-02,1998,1,2,0.67846,0.96007401,6,1.1756099
1998-01-03,1998,1,3,0.231969,0.97552001,6,1.00272
1998-01-04,1998,1,4,-0.11427,1.33595,7,1.34083
1998-01-05,1998,1,5,-0.51363999,1.25307,7,1.35426
1998-01-06,1998,1,6,-1.07514,1.02819,8,1.48765
1998-01-07,1998,1,7,-1.47548,1.00879,8,1.78737
1998-01-08,1998,1,8,-1.7143,1.01042,8,1.98992
1998-01-09,1998,1,9,-1.61177,0.93313003,8,1.8624001
1998-01-10,1998,1,10,-1.50183,0.65521801,8,1.63854
1998-01-11,1998,1,11,-1.30475,0.29140499,8,1.3369
1998-01-12,1998,1,12,-1.0173399,-0.43994999,1,1.10839
1998-01-13,1998,1,13,-0.67293,-1.02136,2,1.22312
1998-01-14,1998,1,14,-0.52582997,-1.19093,2,1.30185
1998-01-15,1998,1,15,-0.0499575995,-1.06991,2,1.07108
1998-01-16,1998,1,16,0.236931,-0.93801999,3,0.96747601
1998-01-17,1998,1,17,0.53873998,-0.65183002,3,0.84565002
1998-01-18,1998,1,18,0.680004,-0.15282001,4,0.69696403
1998-01-19,1998,1,19,0.682239,0.113209,5,0.69156802
1998-01-20,1998,1,20,0.67843902,0.32843101,5,0.75375497
1998-01-21,1998,1,21,0.324117,0.69850701,6,0.770042
1998-01-22,1998,1,22,0.14251301,0.65818,6,0.67343199
1998-01-23,1998,1,23,-0.11,0.57885599,7,0.58921498
1998-01-24,1998,1,24,-0.30860001,0.52055597,7,0.60515398
1998-01-25,1998,1,25,-0.55056,0.654302,7,0.85511798
1998-01-26,1998,1,26,-0.82037002,0.43030801,8,0.926373
1998-01-27,1998,1,27,-0.89946997,0.138276,8,0.91003799
1998-01-28,1998,1,28,-1.03019,-0.0253886003,1,1.0305001
1998-01-29,1998,1,29,-1.04667,-0.20182,1,1.06595
1998-01-30,1998,1,30,-1.10728,-0.52219999,1,1.2242399
1998-01-31,1998,1,31,-0.88766003,-0.50281,1,1.02018
1998-02-01,1998,2,1,-0.62715,-0.69199997,2,0.93390602
1998-02-02,1998,2,2,-0.82774001,-0.97735,2,1.2807699
1998-02-03,1998,2,3,-1.21731,-1.3014801,2,1.78205
1998-02-04,1998,2,4,-1.09709,-1.15799,2,1.59516
1998-02-05,1998,2,5,-1.06148,-1.06234,2,1.50177
1998-02-06,1998,2,6,-0.92352998,-1.07367,2,1.4162199
1998-02-07,1998,2,7,-0.72245002,-1.0836101,2,1.3023601
1998-02-08,1998,2,8,-0.53262001,-0.95455003,2,1.0930901
1998-02-09,1998,2,9,-0.33449,-0.9637,2,1.0201
1998-02-10,1998,2,10,-0.39210999,-1.10401,2,1.1715699
1998-02-11,1998,2,11,-0.39278001,-0.96713001,2,1.0438499
1998-02-12,1998,2,12,-0.0835286006,-1.20165,2,1.20455
1998-02-13,1998,2,13,0.0336842984,-1.4921499,3,1.49253
1998-02-14,1998,2,14,0.340473,-1.3444901,3,1.38693
1998-02-15,1998,2,15,0.74742198,-1.40275,3,1.58945
1998-02-16,1998,2,16,0.81394601,-1.4972301,3,1.70418
1998-02-17,1998,2,17,0.72553599,-1.38383,3,1.56249
1998-02-18,1998,2,18,0.65355802,-1.21316,3,1.378
1998-02-19,1998,2,19,0.712008,-1.0619299,3,1.27853
1998-02-20,1998,2,20,0.73957598,-0.82599998,3,1.1087199
1998-02-21,1998,2,21,0.71991599,-0.54750001,4,0.90445602
1998-02-22,1998,2,22,0.67779797,-0.0519798994,4,0.67978901
1998-02-23,1998,2,23,0.52871001,0.14129999,5,0.54726499
1998-02-24,1998,2,24,0.21025901,0.162375,5,0.265659
1998-02-25,1998,2,25,0.0750494972,0.34796399,6,0.355966
1998-02-26,1998,2,26,-0.29987001,0.126773,8,0.32556501
1998-02-27,1998,2,27,-0.54057997,0.0511570983,8,0.542992
1998-02-28,1998,2,28,-0.26210999,0.102054,8,0.281277
1998-03-01,1998,3,1,-0.0376935005,0.139586,7,0.144586
1998-03-02,1998,3,2,0.0327150002,0.114557,6,0.119137
1998-03-03,1998,3,3,-0.19153,0.42593601,7,0.46701601
1998-03-04,1998,3,4,-0.2208,0.68761301,7,0.72219503
1998-03-05,1998,3,5,-0.38027999,0.61849701,7,0.72605199
1998-03-06,1998,3,6,-0.52124,0.58121699,7,0.78070599
1998-03-07,1998,3,7,-0.50121999,0.77363902,7,0.92181402
